IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0795296,Totally Doctor Who,series,2006–2007,UK,"Documentary, Family",N/A,NA,N/A,N/A,5.6,74
tt0097372,For All Mankind,movie,1989,USA,"Documentary, History",Nominated for 1 Oscar. Another 3 wins & 2 nominations.,Criterion Collection,Not Rated,N/A,8.2,"4,709"
tt0182587,Harsh Realm,series,1999–2000,"Canada, USA","Action, Drama, Mystery, Sci-Fi",5 nominations.,NA,N/A,N/A,7.2,918
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0112167,Sliders,series,1995–2000,USA,"Adventure, Fantasy, Sci-Fi",Nominated for 1 Primetime Emmy. Another 1 win & 3 nominations.,NA,N/A,N/A,7.4,"15,339"
tt0060028,Star Trek: The Original Series,series,1966–1969,USA,"Action, Adventure, Sci-Fi",Nominated for 13 Primetime Emmys. Another 9 wins & 18 nominations.,NA,TV-PG,N/A,8.3,"67,948"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0086491,Twilight Zone: The Movie,movie,1983,USA,"Horror, Sci-Fi",1 win & 8 nominations.,Warner Bros. Pictures,PG,44,6.5,"30,893"
tt1494829,Unnatural History,series,2010–,USA,"Action, Adventure, Drama, Fantasy, History, Mystery, Sci-Fi",1 nomination.,NA,TV-PG,N/A,7.6,"1,304"
tt0046672,"20,000 Leagues Under the Sea",movie,1954,USA,"Adventure, Drama, Family, Fantasy, Sci-Fi",Won 2 Oscars. Another 2 wins & 3 nominations.,Disney,G,83,7.2,"26,637"
tt0309122,2030 CE,series,2002–2003,Canada,"Adventure, Sci-Fi",1 win & 1 nomination.,NA,N/A,N/A,7.1,74
tt1114708,Aaron Stone,series,2009–2010,Canada,"Action, Adventure, Family",N/A,NA,TV-Y7,N/A,7.0,704
tt0147743,Action Man,series,1995–1997,USA,"Animation, Action, Adventure",N/A,NA,TV-Y7,N/A,6.0,341
tt0497578,A.T.O.M.: Alpha Teens on Machines,series,2005–2007,France,"Animation, Action",N/A,NA,TV-Y7,N/A,7.0,609
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0422531,Jimmy Neutron: Attack of the Twonkies,movie,2005,USA,"Animation, Comedy, Family",N/A,N/A,N/A,N/A,6.8,141
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1492090,Planet Sheen,series,2010–2013,USA,"Animation, Comedy, Family, Fantasy, Sci-Fi",N/A,NA,TV-Y7,N/A,3.0,"1,176"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0475899,Alien Racers,series,2005–,USA,"Animation, Adventure, Sci-Fi",N/A,NA,TV-G,N/A,7.3,23
tt0115090,Aliens in the Family,series,1996–,USA,"Comedy, Sci-Fi",N/A,NA,N/A,N/A,6.4,72
tt0383737,Alpha Scorpio,series,1974,Australia,"Family, Sci-Fi",N/A,NA,N/A,N/A,6.0,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0292758,Andra,series,1976–,Australia,Sci-Fi,N/A,NA,N/A,N/A,7.2,14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0224527,Angel Links,series,1999–,Japan,"Animation, Action, Drama",N/A,NA,N/A,N/A,5.9,52
tt2171086,Ani*Kuri15,series,2007–,Japan,"Animation, Comedy, Drama, Sci-Fi",N/A,NA,N/A,N/A,6.8,371
tt0154147,Animorphs,series,1998–2000,"Canada, USA","Fantasy, Sci-Fi, Thriller",N/A,NA,N/A,N/A,6.7,"1,114"
tt1477834,Aquaman,movie,2018,"USA, Australia","Action, Adventure, Fantasy, Sci-Fi",N/A,Warner Bros. Pictures,PG-13,55,7.0,"308,222"
tt1935737,Aquatic Language,movie,2002,Japan,"Animation, Short, Sci-Fi",N/A,N/A,N/A,N/A,6.5,154
tt0201376,Aquila,series,1997–1998,UK,"Comedy, Drama, Family",N/A,NA,N/A,N/A,8.4,177
tt0229878,Archie's Weird Mysteries,series,1999–2000,USA,"Animation, Adventure, Comedy",N/A,NA,TV-Y7,N/A,7.5,470
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt3086402,Armored Police Metal Jack,series,1991–,Japan,"Animation, Sci-Fi",N/A,NA,N/A,N/A,N/A,N/A
tt0375568,Astro Boy,movie,2009,"Japan, Hong Kong, USA","Animation, Action, Comedy, Family, Sci-Fi",4 nominations.,Summit Entertainment,PG,53,6.3,"31,105"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0424603,Atomic Betty,series,2004–2010,Canada,"Animation, Action, Adventure",3 wins & 13 nominations.,NA,TV-Y7,N/A,5.4,"1,297"
tt0084976,Aura Battler Dunbine,series,1983–,Japan,"Animation, Action, Adventure",N/A,NA,TV-14,N/A,7.0,51
tt1350478,The Avengers: The Journey Back,movie,1998,USA,Documentary,N/A,N/A,N/A,N/A,N/A,N/A
tt2455546,Avengers Assemble,series,2013–,USA,"Animation, Short, Action, Adventure, Drama, Family, Sci-Fi",10 nominations.,NA,TV-Y7,N/A,7.0,"6,005"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt5565326,Back to the Future: The Animated Series Revisited,movie,2015,USA,Short,N/A,N/A,N/A,N/A,N/A,N/A
tt0096895,Batman,movie,1989,"USA, UK","Action, Adventure",Won 1 Oscar. Another 8 wins & 26 nominations.,Warner Bros. Pictures,PG-13,69,7.5,"317,478"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0103359,Batman: The Animated Series,series,1992–1995,USA,"Animation, Action, Adventure, Family, Sci-Fi",Won 1 Primetime Emmy. Another 3 wins & 19 nominations.,NA,TV-PG,N/A,9.0,"77,556"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0147746,Batman Beyond,series,1999–2001,USA,"Adventure, Animation, Action, Crime, Mystery, Sci-Fi, Drama, Thriller",5 wins & 14 nominations.,NA,TV-Y7,N/A,8.1,"22,070"
tt0103359,Batman: The Animated Series,series,1992–1995,USA,"Animation, Action, Adventure, Family, Sci-Fi",Won 1 Primetime Emmy. Another 3 wins & 19 nominations.,NA,TV-PG,N/A,9.0,"77,556"
tt1213218,Batman: The Brave and the Bold,series,2008–2011,USA,"Animation, Action, Adventure, Crime, Family, Fantasy, Sci-Fi",Nominated for 1 Primetime Emmy. Another 1 win & 3 nominations.,NA,TV-Y7,N/A,7.2,"6,973"
tt2329077,Beware the Batman,series,2013–2014,USA,"Animation, Action, Adventure, Drama, Sci-Fi",11 nominations.,NA,TV-PG,N/A,7.3,"3,621"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0299260,Battletoads,movie,1992,"USA, Canada",Animation,N/A,N/A,N/A,N/A,6.5,52
tt1146431,Ben 10: Secret of the Omnitrix,movie,2007,USA,"Animation, Action, Adventure, Sci-Fi",N/A,Cartoon Network Studios,Not Rated,N/A,7.1,"1,461"
tt1037011,Ben 10: Race Against Time,movie,2007,USA,"Action, Adventure, Sci-Fi",5 nominations.,N/A,TV-PG,N/A,4.2,"2,666"
tt1192169,Ben 10: Alien Force,series,2008–2010,USA,"Animation, Action, Adventure, Family, Sci-Fi",1 win & 2 nominations.,NA,TV-Y7,N/A,7.0,"5,424"
tt1327701,Ben 10: Alien Swarm,movie,2009,USA,"Action, Sci-Fi",Nominated for 1 Primetime Emmy. Another 2 nominations.,Cartoon Network,TV-PG,N/A,4.7,"2,871"
tt1622696,Ben 10: Ultimate Alien,series,2010–2012,USA,"Animation, Action, Family, Sci-Fi",1 nomination.,NA,TV-Y7,N/A,7.4,"3,431"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt2293002,Ben 10: Omniverse,series,2012–2014,USA,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",3 wins & 12 nominations.,NA,TV-Y7,N/A,5.8,"2,358"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
