IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
tt6038584,Crazyhead,series,2016,UK,"Comedy, Horror",2 wins.,NA,N/A,N/A,7.4,"3,740"
tt5722214,Stan Against Evil,series,2016–2018,USA,"Comedy, Fantasy, Horror",N/A,NA,TV-14,N/A,7.3,"4,332"
tt1734135,Trollhunters: Tales of Arcadia,series,2016–2018,"USA, Mexico","Animation, Short, Action, Adventure, Comedy, Family, Fantasy",14 wins & 14 nominations.,NA,TV-Y7,N/A,8.5,"10,875"
tt5444412,Bunnicula,series,2016–,"USA, Philippines, India, UK","Animation, Comedy, Family, Fantasy, Horror",1 nomination.,NA,TV-Y,N/A,7.2,350
tt5580540,Santa Clarita Diet,series,2017–2019,USA,"Comedy, Horror",N/A,NA,TV-MA,N/A,7.8,"49,813"
tt5464086,"Midnight, Texas",series,2017–2018,USA,"Drama, Fantasy, Mystery",N/A,NA,TV-14,N/A,7.4,"11,401"
tt0884328,The Mist,movie,2007,USA,"Horror, Sci-Fi",6 wins & 11 nominations.,The Weinstein Company,R,58,7.1,"265,061"
tt6517102,Castlevania,series,2017–,USA,"Animation, Action, Adventure, Fantasy, Horror",1 nomination.,NA,TV-MA,N/A,8.1,"25,663"
tt2306775,The Better Half,movie,2015,USA,"Comedy, Drama, Family, Fantasy, Romance",1 win & 1 nomination.,Bette Spaghetti Productions,N/A,N/A,5.4,74
tt5290382,Mindhunter,series,2017–,USA,"Crime, Drama, Thriller",1 win & 7 nominations.,NA,TV-MA,N/A,8.6,"161,994"
tt4858114,Hotel Transylvania: The Series,series,2017–,"USA, Canada","Animation, Comedy, Family, Fantasy, Horror",N/A,NA,TV-Y7,N/A,5.2,428
tt0096708,Tales from the Crypt,series,1989–1996,USA,"Comedy, Crime, Fantasy, Horror, Thriller",Nominated for 7 Primetime Emmys. Another 14 wins & 34 nominations.,NA,TV-MA,N/A,8.0,"19,742"
tt2759976,Time of Death,movie,2013,Canada,Thriller,1 win & 2 nominations.,N/A,N/A,N/A,5.8,326
tt0057181,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,movie,1964,USA,Horror,N/A,Fairway International,Not Rated,N/A,2.3,"4,427"
tt2708480,The Terror,series,2018–,USA,"Adventure, Drama, History, Horror, Thriller",N/A,NA,TV-14,N/A,8.0,"31,433"
tt4898282,Blood Drive,series,2017,USA,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",N/A,NA,TV-MA,N/A,7.3,"5,006"
tt5711280,Electric Dreams,series,2017–,"UK, USA",Sci-Fi,2 nominations.,NA,TV-MA,N/A,7.3,"10,868"
tt7010622,Vampirina,series,2017–,"Ireland, USA","Animation, Short, Comedy, Family, Fantasy, Musical",N/A,NA,TV-Y,N/A,7.0,467
tt5038900,Legend Quest,series,2017–,Mexico,"Animation, Adventure, Comedy, Fantasy, Mystery",N/A,NA,N/A,N/A,7.4,336
tt6053538,Ghosted,series,2017,USA,"Comedy, Crime, Horror, Mystery, Sci-Fi, Thriller",N/A,NA,TV-PG,N/A,6.3,"5,195"
tt7573024,Creeped Out,series,2017–,"UK, Canada","Fantasy, Horror, Mystery, Sci-Fi, Thriller",N/A,NA,TV-Y7,N/A,6.6,881
tt1648190,The Dark Tower,movie,2017,USA,"Action, Adventure, Fantasy, Horror, Sci-Fi, Western",3 nominations.,Sony Pictures,PG-13,34,5.6,"115,141"
tt0371922,Saaya,movie,2003,India,"Drama, Fantasy, Mystery, Romance, Thriller",N/A,N/A,N/A,N/A,5.8,783
