Electra Woman and Dyna Girl ,,
Lab Rats ,,
"Lampies, The ",,
Land of the Lost ,,
Lavender Castle ,,
Lazer Tag Academy ,,
League of Super Evil a.k.a. L.O.S.E. ,,
Legacy of the Silver Shadow ,,
Legends of the Superheroes ,,
Legion of Super Heroes ,,
Lloyd in Space ,,
Loonatics Unleashed ,,
"Lost Saucer, The ",,
Luna ,,
M.A.S.K. ,,
Macross ,,
"Super Dimension Fortress Macross, The ",,
Super Dimension Cavalry Southern Cross ,,
Super Dimension Century Orguss ,,
Macross 7 ,,
Macross Frontier ,,
Macross Delta ,,
"Magician, The a.k.a. Magicien, Le ",,
Mandog ,,
Manta and Moray ,,
Marine Boy a.k.a. Undersea Boy Marine ,,
Dolphin Prince ,,
Hang On! Marine Kid ,,
Undersea Boy Marine ,,
Mario ,,
Saturday Supercade: Space Ace ,,
"Super Mario Bros. Super Show!, The ",,
Captain N: The Game Master ,,
"Adventures of Super Mario Bros. 3, The ",,
Super Mario World ,,
Martin Mystery ,,
Max Steel ,,
Mazinger ,,
Mazinger Z ,,
Great Mazinger ,,
Grendizer ,,
God Mazinger ,,
Shin Mazinger Shougeki! Z Hen ,,
Mech-X4 ,,
Medabots a.k.a. Medarot ,,
Mega Man ,,
Mega Man a.k.a. Mega Man: A Rockman series ,,
MegaMan NT Warrior a.k.a. Mega Man Battle Network a.k.a. Rockman.EXE ,,
MegaMan NT Warrior Axess a.k.a. Rockman.EXE Axess ,,
MegaMan NT Warrior Stream a.k.a. Rockman.EXE Stream ,,
MegaMan NT Warrior Beast a.k.a. Rockman.EXE Beast ,,
MegaMan NT Warrior Beast+ a.k.a. Rockman.EXE Beast+ ,,
Mega Man Star Force a.k.a. Shooting Star Rockman ,,
Mega Man Star Force Tribe a.k.a. Shooting Star Rockman Tribe ,,
Megas XLR ,,
MetaJets ,,
Metal Fighter Miku ,,
Metal Mickey ,,
"Mighty Heroes, The ",,
Mighty Max ,,
Mighty Mouse ,,
"New Adventures of Mighty Mouse and Heckle & Jeckle, The ",,
Mighty Mouse: The New Adventures ,,
Miles from Tomorrowland ,,
Monster Force ,,
Motorcity ,,
Mr. Squiggle ,,
My Goldfish Is Evil ,,
My Life as a Teenage Robot ,,
"Mysterious Cities of Gold, The ",,
Nadesico ,,
Martian Successor Nadesico a.k.a. Mobile Battleship Nadesico a.k.a. Nadesico ,,
Gekiganger III ,,
Nadia: The Secret of Blue Water ,,
Nadia: The Secret of Blue Water a.k.a. Fushigi no Umi no Nadia ,,
Nadia: The Secret of Fuzzy ,,
NASCAR Racers ,,
Needless ,,
Nanoboy ,,
"New Adventures of Nanoboy, The ",,
Nanoboy: Hero on the Run ,,
"New Adventures of Ocean Girl, The ",,
NieA 7 a.k.a. NieA under 7 ,,
Ninja Senshi Tobikage a.k.a. Ninja Robot Tobikage a.k.a. Ninja Robots ,,
"Now and Then, Here and There ",,
Ōban Star-Racers ,,
"Odyssey, The ",,
Overman King Gainer ,,
"Owl, The a.k.a. La Chouette ",,
Ozzy & Drix a.k.a. The Fantastic Voyage Adventures of Osmosis Jones & Drixenol ,,
Packages from Planet X ,,
Panzer World Galient ,,
Parallax ,,
Partridge Family 2200 A.D. ,,
Patlabor: The TV Series ,,
Phantom 2040 ,,
Phil of the Future ,,
Plastic Man ,,
"Plastic Man Comedy/Adventure Show, The ",,
Mighty Man and Yukk ,,
Rickety Rocket ,,
Power Rangers ,,
Mighty Morphin Alien Rangers ,,
Mighty Morphin Power Rangers ,,
Power Rangers: Zeo ,,
Power Rangers: Turbo ,,
Power Rangers in Space ,,
Power Rangers: Lost Galaxy ,,
Power Rangers: Lightspeed Rescue ,,
Power Rangers: Time Force ,,
Power Rangers: Wild Force ,,
Power Rangers: Ninja Storm ,,
Power Rangers: Dino Thunder ,,
Power Rangers: S.P.D. ,,
Power Rangers: Mystic Force ,,
Power Rangers: Operation Overdrive ,,
Power Rangers: Jungle Fury ,,
Power Rangers: RPM ,,
Power Rangers: Samurai ,,
"Power Team, The a.k.a. Acclaim Masters ",,
"Powerpuff Girls, The ",,
Prince Planet a.k.a. Planet Boy Popi ,,
"Problem Solverz, The a.k.a. Neon Knome ",,
Project G.e.e.K.e.R. ,,
RahXephon ,,
Ray the Animation ,,
Read All About It! ,,
ReBoot ,,
